Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
11/10/2015, Patriots,109,23,247,27,20,9,65,0,0,20,10,3,1,0,1608,30, Cowboys,100,24,164,39,26,7,50,1,1,18,14,4,2,1,1992,6
11/10/2015, Broncos,43,18,254,35,22,6,103,0,2,15,13,2,0,0,1551,16, Raiders,65,25,223,39,26,6,41,2,1,20,16,7,2,1,2049,10
11/10/2015, Cardinals,187,25,158,18,12,9,70,0,0,15,8,1,0,0,1408,42, Lions,57,18,379,70,41,9,85,2,4,29,17,8,1,0,2192,17
11/10/2015, Seahawks,200,30,197,23,15,10,112,0,1,16,13,5,0,0,1835,24, Bengals,109,31,310,44,30,7,50,1,1,27,15,6,0,0,2449,27
12/10/2015, 49ers,124,27,256,35,23,4,28,0,0,22,14,8,0,0,1682,27, Giants,84,21,441,54,41,6,65,0,1,30,14,9,0,0,1918,30
13/10/2015, Steelers,155,27,194,26,13,8,86,0,1,14,14,5,0,0,1577,24, Chargers,52,19,354,48,35,7,54,1,1,24,14,4,0,0,2023,20
16/10/2015, Falcons,150,21,263,44,30,7,41,3,0,23,12,3,4,3,1650,21, Saints,81,32,304,39,30,3,15,0,0,25,16,8,1,1,1950,31
18/10/2015, Cardinals,55,20,414,45,29,9,111,1,2,21,12,5,1,0,1869,13, Steelers,141,32,169,20,11,6,48,0,0,14,12,3,0,0,1731,25
18/10/2015, Broncos,152,33,290,48,26,8,81,0,3,21,18,4,1,1,2204,26, Browns,109,33,189,39,20,6,30,1,2,20,15,6,1,0,2000,23
18/10/2015, Bears,91,31,353,41,26,9,76,0,1,24,14,6,0,0,2014,34, Lions,155,32,391,42,27,10,98,2,1,26,17,9,1,1,2337,37
18/10/2015, Redskins,34,17,191,44,25,3,15,0,2,14,15,5,2,1,1641,20, Jets,221,41,253,26,19,1,5,2,1,22,14,7,0,0,1959,34
18/10/2015, Texans,95,31,287,36,24,10,69,0,0,24,14,7,2,1,1802,31, Jaguars,83,21,311,53,30,7,64,0,3,26,15,5,2,2,1798,20
18/10/2015, Bengals,112,28,243,33,22,3,20,0,0,21,12,7,0,0,1800,34, Bills,112,23,256,42,28,8,93,0,1,22,13,5,2,1,1800,21
18/10/2015, Ravens,77,22,343,53,33,3,15,0,2,25,13,4,1,1,1987,20, 49ers,65,25,326,27,16,4,25,0,0,15,13,5,0,0,1613,25
18/10/2015, Chargers,60,21,488,65,43,9,76,1,0,32,18,9,3,1,2280,20, Packers,133,17,237,29,16,6,50,0,0,17,9,3,0,0,1320,27
18/10/2015, Dolphins,180,32,254,29,22,9,97,0,2,26,9,5,0,0,1913,38, Titans,63,18,236,41,26,7,50,2,2,22,10,2,2,1,1687,10
18/10/2015, Panthers,135,33,248,36,20,5,25,0,2,25,11,4,1,0,1932,27, Seahawks,115,26,219,30,18,7,48,0,0,14,14,4,0,0,1668,23
18/10/2015, Chiefs,57,18,271,37,22,8,95,1,0,16,12,3,2,0,1613,10, Vikings,84,35,237,31,17,5,50,0,2,16,17,6,1,1,1987,16
19/10/2015, Patriots,116,25,301,37,23,8,72,0,1,22,12,5,1,1,1648,34, Colts,120,22,289,50,30,11,103,0,0,24,16,7,3,1,1952,27
20/10/2015, Giants,81,23,166,38,24,12,92,1,2,18,13,4,1,0,1770,7, Eagles,155,37,270,38,24,9,72,1,3,24,16,6,0,0,1830,27
23/10/2015, Seahawks,176,41,212,24,18,6,50,0,2,21,13,5,1,1,2285,20, 49ers,61,15,81,24,13,4,33,0,0,8,11,1,0,0,1315,3
25/10/2015, Jets,89,29,283,39,22,4,29,1,0,25,14,8,0,0,1983,23, Patriots,16,9,337,54,34,4,38,0,0,20,16,8,1,1,1617,30
25/10/2015, Bills,115,28,260,42,24,10,87,2,2,26,12,3,1,0,1882,31, Jaguars,120,32,175,29,13,10,66,0,1,17,14,5,1,0,1718,34
25/10/2015, Cowboys,233,41,227,27,17,7,46,1,3,27,11,6,1,0,2284,20, Giants,132,25,157,24,13,3,13,0,0,13,11,3,0,0,1316,27
25/10/2015, Saints,183,36,266,45,29,12,100,0,1,22,20,7,1,1,2303,27, Colts,75,13,301,44,23,7,42,1,2,15,13,3,0,0,1297,21
25/10/2015, Falcons,127,31,251,38,22,6,53,0,2,21,14,5,2,0,2085,10, Titans,77,16,179,35,22,5,45,0,2,15,9,1,1,0,1515,7
25/10/2015, Texans,71,25,251,49,23,3,25,0,1,24,15,6,1,0,1675,26, Dolphins,248,35,255,20,19,8,52,1,0,21,9,1,0,0,1925,44
25/10/2015, Raiders,130,26,282,31,24,14,136,0,0,19,12,5,0,0,1849,37, Chargers,90,21,327,58,38,9,86,0,2,28,16,8,0,0,1751,29
25/10/2015, Browns,82,24,282,37,30,11,98,4,0,19,12,3,1,0,2133,6, Rams,158,26,150,23,15,9,75,1,0,16,9,1,0,0,1467,24
25/10/2015, Steelers,147,24,192,29,16,1,5,1,2,18,10,2,2,1,1654,13, Chiefs,138,29,239,32,21,6,66,0,0,18,16,9,0,0,1946,23
25/10/2015, Vikings,140,35,285,35,25,3,31,1,0,25,13,5,1,0,2187,28, Lions,77,17,197,26,18,5,30,0,0,14,10,1,2,0,1413,19
25/10/2015, Buccaneers,190,30,289,29,21,16,142,1,0,21,12,7,0,0,1878,30, Redskins,50,19,305,40,33,4,20,1,0,27,11,5,0,0,1722,31
26/10/2015, Eagles,177,30,172,46,26,7,46,0,1,20,18,7,2,1,1866,16, Panthers,204,33,190,24,14,5,43,0,3,21,9,2,0,0,1734,27
27/10/2015, Ravens,55,16,221,40,26,9,64,1,1,18,13,5,1,1,1824,18, Cardinals,150,28,264,29,20,4,40,0,0,21,12,5,0,0,1776,26
30/10/2015, Dolphins,15,13,255,44,28,7,40,0,2,18,11,2,2,1,1643,7, Patriots,95,26,342,38,26,8,69,0,0,24,12,3,1,1,1957,36
01/11/2015, Chargers,81,26,290,37,28,6,66,0,0,22,13,7,0,0,1806,26, Ravens,72,25,293,37,25,5,46,0,0,23,12,5,1,1,1794,29
01/11/2015, Bengals,78,23,218,38,23,10,94,0,2,16,15,4,0,0,1791,16, Steelers,116,19,240,45,28,10,91,0,3,21,11,3,0,0,1809,10
01/11/2015, Seahawks,113,31,210,30,19,5,40,0,1,19,12,5,0,0,1778,13, Cowboys,129,30,91,26,13,5,40,0,0,14,14,4,2,1,1822,12
01/11/2015, Jets,74,21,292,47,31,6,40,0,1,22,16,7,3,1,1762,20, Raiders,118,25,333,36,23,6,61,0,0,21,10,4,0,0,1838,34
01/11/2015, Giants,87,21,329,41,30,6,53,1,0,28,8,1,2,2,1501,49, Saints,103,26,505,50,39,12,93,0,2,35,11,7,1,1,2099,52
01/11/2015, Lions,81,14,195,38,23,8,81,0,2,16,12,2,2,1,1546,10, Chiefs,206,32,134,28,20,3,20,0,0,24,13,8,0,0,2054,45
01/11/2015, Cardinals,119,38,372,38,23,5,25,3,1,25,16,13,0,0,2063,34, Browns,39,20,215,40,21,7,35,1,1,16,16,9,1,0,1537,20
01/11/2015, Buccaneers,117,32,173,29,16,8,43,0,0,21,13,6,1,0,1811,23, Falcons,101,27,395,45,37,11,124,3,1,28,12,6,3,2,2345,20
01/11/2015, Vikings,147,25,180,30,17,4,35,0,1,17,12,5,0,0,1638,23, Bears,97,25,208,33,22,4,38,0,0,18,12,3,1,1,1962,20
01/11/2015, Titans,86,20,125,31,22,6,45,2,1,15,12,1,1,0,1868,6, Texans,56,23,214,35,23,7,85,0,0,14,15,4,1,0,1732,20
01/11/2015, 49ers,38,21,151,41,20,13,93,0,0,11,17,3,1,0,1682,6, Rams,197,41,191,23,14,12,93,1,0,16,12,1,0,0,1918,27
02/11/2015, Packers,90,21,50,22,14,2,15,0,0,14,8,2,0,0,1593,10, Broncos,160,34,340,29,21,11,93,0,1,24,12,6,0,0,2007,29
03/11/2015, Colts,136,35,223,47,23,2,15,1,3,19,18,6,1,1,2158,26, Panthers,140,36,239,35,16,6,55,2,1,17,16,4,2,2,2020,29
06/11/2015, Browns,69,17,144,33,15,4,28,0,0,13,13,4,2,1,1437,10, Bengals,152,37,219,27,21,2,20,0,0,23,14,8,1,1,2163,31
08/11/2015, Raiders,139,25,301,44,24,3,21,3,1,24,14,6,0,0,1676,35, Steelers,195,30,402,50,28,5,42,1,1,27,17,6,2,1,1924,38
08/11/2015, Titans,112,28,371,39,28,9,66,1,0,25,13,5,0,0,1941,34, Saints,61,27,355,39,28,8,75,1,1,30,11,6,0,0,1969,28
08/11/2015, Dolphins,106,23,291,37,28,8,62,1,0,29,9,4,0,0,1727,17, Bills,266,36,154,12,11,13,94,0,0,18,13,8,0,0,1873,33
